<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,20231013,110000,169.8800000,170.7900000,169.4000000,170.5000000,5697080
GAZP,60,20231013,120000,170.5000000,170.5800000,169.7600000,169.9700000,2878310
GAZP,60,20231013,130000,169.9700000,170.0900000,169.1500000,169.3600000,2516970
GAZP,60,20231013,140000,169.3600000,169.7000000,169.1600000,169.5100000,1638670
GAZP,60,20231013,150000,169.5100000,170.1000000,169.3400000,169.8500000,2373740
GAZP,60,20231013,160000,169.8400000,170.2000000,169.5500000,169.7000000,2080980
GAZP,60,20231013,170000,169.7300000,169.8700000,167.1500000,168.4200000,11435120
GAZP,60,20231013,180000,168.4200000,168.8500000,168.3400000,168.8200000,1832310
GAZP,60,20231013,190000,168.8200000,169.7200000,168.7200000,169.7200000,1911890
GAZP,60,20231013,200000,169.7200000,169.9000000,169.1800000,169.7600000,1507870
GAZP,60,20231013,210000,169.7500000,170.0000000,169.5400000,169.5900000,1354000
GAZP,60,20231013,220000,169.5800000,169.7500000,169.4100000,169.6100000,497440
GAZP,60,20231013,230000,169.6000000,170.4900000,169.6000000,170.0900000,1426820
