<TICKER> <PER> <DATE> <TIME> <CLOSE>
YNDX D 20230103 000000 1832.0000000
YNDX D 20230104 000000 1867.0000000
YNDX D 20230105 000000 1855.4000000
YNDX D 20230106 000000 1850.4000000
YNDX D 20230109 000000 1866.8000000
YNDX D 20230110 000000 1870.0000000
YNDX D 20230111 000000 1909.0000000
YNDX D 20230112 000000 1897.8000000
YNDX D 20230113 000000 1912.0000000
YNDX D 20230116 000000 1953.8000000
YNDX D 20230117 000000 1889.6000000
YNDX D 20230118 000000 1906.6000000
YNDX D 20230119 000000 1882.4000000
YNDX D 20230120 000000 1904.8000000
YNDX D 20230123 000000 1945.0000000
YNDX D 20230124 000000 1919.8000000
YNDX D 20230125 000000 1914.8000000
YNDX D 20230126 000000 1902.8000000
YNDX D 20230127 000000 1912.0000000
YNDX D 20230130 000000 1934.0000000
YNDX D 20230131 000000 2047.2000000
YNDX D 20230201 000000 2088.0000000
YNDX D 20230202 000000 2075.0000000
YNDX D 20230203 000000 2055.8000000
YNDX D 20230206 000000 2094.6000000
YNDX D 20230207 000000 2076.6000000
YNDX D 20230208 000000 2060.2000000
YNDX D 20230209 000000 2040.4000000
YNDX D 20230210 000000 2060.8000000
YNDX D 20230213 000000 2065.2000000
YNDX D 20230214 000000 2028.6000000
YNDX D 20230215 000000 1969.2000000
YNDX D 20230216 000000 1976.4000000
YNDX D 20230217 000000 1971.0000000
YNDX D 20230220 000000 1958.0000000
YNDX D 20230221 000000 1993.8000000
YNDX D 20230222 000000 1980.4000000
YNDX D 20230224 000000 1986.6000000
YNDX D 20230227 000000 2007.4000000
YNDX D 20230228 000000 2015.0000000
YNDX D 20230301 000000 2033.8000000
YNDX D 20230302 000000 1970.8000000
YNDX D 20230303 000000 1984.2000000
YNDX D 20230306 000000 1973.0000000
YNDX D 20230307 000000 1961.8000000
YNDX D 20230309 000000 1942.0000000
YNDX D 20230310 000000 1917.0000000
YNDX D 20230313 000000 1907.4000000
YNDX D 20230314 000000 1901.2000000
YNDX D 20230315 000000 1864.2000000
YNDX D 20230316 000000 1851.0000000
YNDX D 20230317 000000 1898.0000000
YNDX D 20230320 000000 1910.0000000
YNDX D 20230321 000000 1887.6000000
